Player,Comp,Age,Min,Gls,Ast,dribbles_successful,key_passes,duels_won,duels_total
Warren Bondo,it Serie A,20.0,162,0,0,0,0,0,1
Victor Boniface,de Bundesliga,23.0,1008,8,1,0,0,0,1
Kevin Bonifazi,it Serie A,28.0,65,0,0,0,0,0,1
Ange-Yoan Bonny,it Serie A,20.0,2529,6,4,0,0,0,1
Sebastiaan Bornauw,de Bundesliga,25.0,788,2,1,0,0,0,1
Sven Botman,eng Premier League,24.0,412,0,0,0,0,0,1
Saïmon Bouabré,fr Ligue 1,18.0,97,0,0,0,0,0,1
Ayyoub Bouaddi,fr Ligue 1,16.0,1151,0,1,0,0,0,1
Badredine Bouanani,fr Ligue 1,19.0,1099,3,3,0,0,0,1
Benjamin Bouchouari,fr Ligue 1,22.0,1772,1,0,0,0,0,1
Hicham Boudaoui,fr Ligue 1,24.0,2435,2,3,0,0,0,1
Carlo Boukhalfa,de Bundesliga,25.0,1646,2,0,0,0,0,1
Justin Bourgault,fr Ligue 1,18.0,122,1,0,0,0,0,1
Benjamin Bourigeaud,fr Ligue 1,30.0,80,1,0,0,0,0,1
Edoardo Bove,it Serie A,22.0,836,1,2,0,0,0,1
Jarrod Bowen,eng Premier League,27.0,2973,13,8,0,0,0,1
Enzo Boyomo,es La Liga,22.0,2987,2,0,0,0,0,1
Enzo Boyomo,es La Liga,22.0,270,0,0,0,0,0,1
Domagoj Bradarić,it Serie A,24.0,1933,1,0,0,0,0,1
Conor Bradley,eng Premier League,21.0,754,0,2,0,0,0,1
Bilal Brahimi,fr Ligue 1,24.0,76,0,0,0,0,0,1
Julian Brandt,de Bundesliga,28.0,2303,5,10,0,0,0,1
Jarrad Branthwaite,eng Premier League,22.0,2511,0,1,0,0,0,1
Darko Brašanac,es La Liga,32.0,1617,1,2,0,0,0,1
Lilian Brassier,fr Ligue 1,24.0,779,0,0,0,0,0,1
Lilian Brassier,fr Ligue 1,24.0,1234,1,1,0,0,0,1
Matthias Braunöder,it Serie A,22.0,268,0,0,0,0,0,1
Iker Bravo,it Serie A,19.0,682,2,1,0,0,0,1
James Bree,eng Premier League,26.0,1075,0,1,0,0,0,1
Tim Breithaupt,de Bundesliga,22.0,120,0,1,0,0,0,1
Gleison Bremer,it Serie A,27.0,540,0,0,0,0,0,1
Brenner,it Serie A,24.0,386,1,2,0,0,0,1
Ben Brereton,eng Premier League,25.0,449,0,0,0,0,0,1
